timestamp,open,high,low,close,volume
2025-12-11 02:00:00,3254.86,3256.15,3206.85,3211.28,13412.741611
2025-12-11 03:00:00,3211.28,3211.28,3167.37,3191.71,14353.409303
2025-12-11 04:00:00,3191.44,3216.22,3180.04,3214.95,11556.053745
2025-12-11 05:00:00,3214.94,3215.77,3193.83,3214.7,5207.544759
2025-12-11 06:00:00,3214.7,3214.71,3194.47,3203.01,4363.758138
2025-12-11 07:00:00,3203.01,3206.87,3196.16,3201.5,7167.730246
2025-12-11 08:00:00,3201.51,3211.58,3178.62,3197.23,10669.23396
2025-12-11 09:00:00,3197.22,3213.19,3193.51,3199.03,5516.255971
2025-12-11 10:00:00,3199.02,3203.0,3188.52,3196.32,4654.212212
2025-12-11 11:00:00,3196.32,3202.4,3193.02,3193.03,1630.887338
2025-12-11 12:00:00,3193.03,3207.88,3187.27,3199.12,2998.327028
2025-12-11 13:00:00,3199.12,3204.0,3188.61,3191.95,2321.752762
2025-12-11 14:00:00,3192.0,3196.24,3145.01,3159.94,18031.658856
2025-12-11 15:00:00,3159.92,3209.99,3155.2,3179.11,11264.56469
2025-12-11 16:00:00,3179.25,3197.54,3155.42,3175.16,9346.001888
2025-12-11 17:00:00,3175.37,3204.43,3168.2,3181.77,4280.721114
2025-12-11 18:00:00,3181.42,3234.0,3179.85,3203.56,11494.834105
2025-12-11 19:00:00,3203.56,3229.0,3190.0,3194.42,8686.112968
2025-12-11 20:00:00,3194.28,3227.11,3192.71,3221.76,8720.453616
2025-12-11 21:00:00,3222.0,3273.33,3215.18,3249.42,18559.278601
2025-12-11 22:00:00,3249.41,3265.79,3229.72,3238.47,5287.180263
2025-12-11 23:00:00,3238.41,3245.52,3223.43,3237.44,4284.083485
2025-12-12 00:00:00,3237.45,3247.0,3185.0,3189.19,6107.319182
2025-12-12 01:00:00,3189.6,3246.5,3189.6,3234.61,5945.011026
2025-12-12 02:00:00,3234.61,3265.66,3227.45,3258.7,4699.711519
2025-12-12 03:00:00,3258.7,3264.34,3238.46,3245.77,3301.552576
2025-12-12 04:00:00,3245.5,3251.75,3240.3,3247.83,2152.410441
2025-12-12 05:00:00,3247.84,3252.0,3232.65,3247.81,2400.60476
2025-12-12 06:00:00,3247.81,3265.0,3245.9,3254.29,4250.139039
2025-12-12 07:00:00,3254.3,3258.12,3242.8,3246.39,4301.299314
2025-12-12 08:00:00,3246.4,3251.32,3234.22,3245.0,3583.073944
2025-12-12 09:00:00,3244.92,3255.3,3233.33,3251.6,3380.788087
